2016-12-10,23rd-and-park,Classic Black Tea,$2.35
2016-12-10,23rd-and-park,Seafood Fra Diavolo Over Basil Orzo,$10.95
2016-12-10,23rd-and-park,Mixed Greens,$4.95
2016-12-10,23rd-and-park,"White Bean, Broccoli, Sundried Tomato",$8.65
2016-12-10,23rd-and-park,BBQ Sweet Potato Salad,$3.50
2016-12-10,23rd-and-park,Beef Chimichurri,$4.15
2016-12-10,23rd-and-park,Tomato Basil With Rice,$7.75
2016-12-10,23rd-and-park,Cream of Tomato with Chicken And Orzo,$9.30
2016-12-10,23rd-and-park,Turkey & Smoked Gouda,$4.15
2016-12-10,23rd-and-park,Fresh Mozzarella & Avocado With Lemon Aioli,$4.05
2016-12-10,23rd-and-park,Extra Seven Grain,$0.50
2016-12-10,23rd-and-park,Pineapple ,$3.50
2016-12-10,23rd-and-park,Truffle Brownie,$1.80
2016-12-10,23rd-and-park,Three Lentil Chili,$7.75
2016-12-10,23rd-and-park,San Pellegrino Sparkling Water,$2.75
2016-12-10,23rd-and-park,Vietnamese Shrimp & Pork Noodle Soup,$9.30
2016-12-10,23rd-and-park,Romaine,$4.95
2016-12-10,23rd-and-park,"Turkey, Corn & Sweet Potato",$9.30
2016-12-10,23rd-and-park,Ginger Ale,$2.15
2016-12-10,23rd-and-park,Diet Lemon Snapple,$2.15
2016-12-10,23rd-and-park,Beef Vegetable,$10.15
2016-12-10,23rd-and-park,Pop 101 Baked Popcorn,$1.65
2016-12-10,23rd-and-park,"Black Forest Ham, Murray's Cheddar & Beer Mustard  ",$4.15
2016-12-10,23rd-and-park,Green Goddess Chicken Picnic Box,$5.50
2016-12-10,23rd-and-park,"Fresh Mozzarella, Roasted Tomatoes & Arugula ",$3.50
2016-12-10,29th-and-7th,Romaine,$4.95
2016-12-10,29th-and-7th,Green Goddess with Avocado Green Goddess Dressing,$10.25
2016-12-10,29th-and-7th,H&H Tuna Salad Sandwich,$4.05
2016-12-10,29th-and-7th,Ten Vegetable,$7.75
2016-12-10,29th-and-7th,Poland Spring Sparkling Raspberry Lime,$2.15
2016-12-10,29th-and-7th,Cajun Chicken & Avocado Cobb with Smoky Chipotle ,$8.25
2016-12-10,29th-and-7th,Tahini Chicken Protein Box,$8.50
2016-12-10,29th-and-7th,Chicken Pot Pie,$9.30
2016-12-10,29th-and-7th,Poland Spring Water,$2.00
2016-12-10,29th-and-7th,Popcorners,$1.65
2016-12-10,29th-and-7th,Apple,$0.95
2016-12-10,29th-and-7th,Korean BBQ Beef over Kimchi Rice,$10.95
2016-12-10,29th-and-7th,Oatmeal Raisin Cookie,$1.40
2016-12-10,29th-and-7th,Chocolate Chip Cookie,$1.40
2016-12-10,29th-and-7th,"Fresh Mozzarella, Roasted Tomatoes & Arugula ",$3.50
2016-12-10,29th-and-7th,Baby Spinach,$4.95
2016-12-10,29th-and-7th,Deep River Potato Chips,$1.65
2016-12-10,29th-and-7th,Extra Crackers,$0.50
2016-12-10,29th-and-7th,Three Lentil Chili,$7.75
2016-12-10,29th-and-7th,Terra Chips,$1.95
2016-12-10,29th-and-7th,Charleston Crab Chowder,$10.15
2016-12-10,29th-and-7th,"Farro, Sweet Potato & Avocado with Savory Tahini",$8.25
2016-12-10,29th-and-7th,Holiday Turkey & Trimmings ,$4.15
2016-12-10,29th-and-7th,Simple Chicken Salad ,$3.50
2016-12-10,29th-and-7th,Organic Lemonade,$2.35
2016-12-10,29th-and-7th,Poland Spring Sparkling Lemon,$2.15
2016-12-10,29th-and-7th,Spicy Cajun Chicken,$4.15
2016-12-10,29th-and-7th,Grilled Chicken & Guacamole,$4.05
2016-12-10,29th-and-7th,Coke,$2.15
2016-12-10,29th-and-7th,Citrus Cup,$3.50
2016-12-10,29th-and-7th,Chicken Avocado with Cranberries & Walnuts with HH Vinaigrette,$8.25
2016-12-10,29th-and-7th,Prosciutto and Mozzarella Picnic Box,$5.50
2016-12-10,29th-and-7th,Harvest Apple Salad with Apple Cider Vinaigrette,$10.25
2016-12-10,29th-and-7th,Lemon Snapple,$2.15
2016-12-10,29th-and-7th,"Wild Mushroom, Kale & Orzo",$8.65
2016-12-10,29th-and-7th,Cream of Tomato with Chicken And Orzo,$9.30
2016-12-10,29th-and-7th,Half & Half,$2.35
2016-12-10,29th-and-7th,Diet Coke,$2.15
2016-12-10,29th-and-7th,Fall Harvest Vegetable,$7.75
2016-12-10,29th-and-7th,Turkey & Avocado With Walnut Pesto,$4.05
2016-12-10,29th-and-7th,"Smoky Pepper, Shrimp And Orzo",$10.15
2016-12-10,29th-and-7th,Sriracha Chicken,$4.05
2016-12-10,29th-and-7th,Chili Mac & Cheese,$10.15
2016-12-10,29th-and-7th,Chicken & Sausage Jambalaya,$9.30
2016-12-10,29th-and-7th,Extra Croutons (2 scoops),$0.50
2016-12-10,29th-and-7th,Chicken Vegetable With Couscous Or Noodles,$7.75
2016-12-10,29th-and-7th,Truffle Brownie,$1.80
2016-12-10,29th-and-7th,Balsamic Chicken & Avocado,$4.05
2016-12-10,29th-and-7th,Tuna Nicoise Protein Box,$8.50
2016-12-10,29th-and-7th,Extra Sourdough,$0.50
2016-12-10,29th-and-7th,"Grilled Chicken Caesar Saladwith Caesar dressing",$8.25
2016-12-10,29th-and-7th,Romesco Chicken & Artichoke with Spanish Romesco Dressing,$10.25
2016-12-10,29th-and-7th,Thai Chicken Satay Over Rice Vermicelli Noodles,$9.95
2016-12-10,29th-and-7th,Classic Black Tea,$2.35
2016-12-10,29th-and-7th,Seafood Fra Diavolo Over Basil Orzo,$10.95
2016-12-10,29th-and-7th,Mixed Greens,$4.95
2016-12-10,29th-and-7th,Beef Chimichurri,$4.15
2016-12-10,29th-and-7th,Tomato Basil With Rice,$7.75
2016-12-10,29th-and-7th,Fresh Mozzarella & Tomato With Basil,$4.05
2016-12-10,29th-and-7th,Beef Barley,$10.15
2016-12-10,29th-and-7th,Turkey & Smoked Gouda,$4.15
2016-12-10,29th-and-7th,Fresh Mozzarella & Avocado With Lemon Aioli,$4.05
2016-12-10,29th-and-7th,Chewy Marshmallow Bar With Brown Butter & Sea Salt,$2.50
2016-12-10,29th-and-7th,Extra Seven Grain,$0.50
2016-12-10,29th-and-7th,Pineapple ,$3.50
2016-12-10,29th-and-7th,BBQ Sweet Potato Salad,$3.50
2016-12-10,29th-and-7th,San Pellegrino Sparkling Water,$2.75
2016-12-10,29th-and-7th,Fall Apple Slaw,$3.50
2016-12-10,29th-and-7th,Ginger Ale,$2.15
2016-12-10,29th-and-7th,Diet Lemon Snapple,$2.15
2016-12-10,29th-and-7th,Southwestern Protein Box,$8.50
2016-12-10,29th-and-7th,Pop 101 Baked Popcorn,$1.65
2016-12-10,29th-and-7th,"Black Forest Ham, Murray's Cheddar & Beer Mustard  ",$4.15
2016-12-10,29th-and-7th,Green Goddess Chicken Picnic Box,$5.50
2016-12-10,29th-and-7th,Curried Chicken Chowder,$9.30
2016-12-10,29th-and-park,Romaine,$4.95
2016-12-10,29th-and-park,Southwestern Protein Box,$8.50
2016-12-10,29th-and-park,H&H Tuna Salad Sandwich,$4.05
2016-12-10,29th-and-park,Poland Spring Sparkling Raspberry Lime,$2.15
2016-12-10,29th-and-park,Cajun Chicken & Avocado Cobb with Smoky Chipotle ,$8.25
2016-12-10,29th-and-park,Tahini Chicken Protein Box,$8.50
2016-12-10,29th-and-park,Thai Chicken Satay Over Rice Vermicelli Noodles,$9.95
2016-12-10,29th-and-park,Poland Spring Water,$2.00
2016-12-10,29th-and-park,Popcorners,$1.65
2016-12-10,29th-and-park,Apple,$0.95
2016-12-10,29th-and-park,Korean BBQ Beef over Kimchi Rice,$10.95
2016-12-10,29th-and-park,Oatmeal Raisin Cookie,$1.40
2016-12-10,29th-and-park,Chocolate Chip Cookie,$1.40
2016-12-10,29th-and-park,"Fresh Mozzarella, Roasted Tomatoes & Arugula ",$3.50
2016-12-10,29th-and-park,Baby Spinach,$4.95
2016-12-10,29th-and-park,Deep River Potato Chips,$1.65
2016-12-10,29th-and-park,Extra Crackers,$0.50
2016-12-10,29th-and-park,Extra Croutons (2 scoops),$0.50
2016-12-10,29th-and-park,Terra Chips,$1.95
2016-12-10,29th-and-park,"Farro, Sweet Potato & Avocado with Savory Tahini",$8.25
2016-12-10,29th-and-park,Green Goddess with Avocado Green Goddess Dressing,$10.25
2016-12-10,29th-and-park,Simple Chicken Salad ,$3.50
2016-12-10,29th-and-park,Organic Lemonade,$2.35
2016-12-10,29th-and-park,Poland Spring Sparkling Lemon,$2.15
2016-12-10,29th-and-park,Spicy Cajun Chicken,$4.15
2016-12-10,29th-and-park,Grilled Chicken & Guacamole,$4.05
2016-12-10,29th-and-park,Coke,$2.15
2016-12-10,29th-and-park,Citrus Cup,$3.50
2016-12-10,29th-and-park,Chicken Avocado with Cranberries & Walnuts with HH Vinaigrette,$8.25
2016-12-10,29th-and-park,Harvest Apple Salad with Apple Cider Vinaigrette,$10.25
2016-12-10,29th-and-park,Lemon Snapple,$2.15
